bk_availability_status,sk_sales_channel,sk_merchant,sk_product,merchant_id,product_id,last_update_event_time_utc,received_at,first_availability_date,availability_status,price_available,product_available,stock_available,selection_rank,standard_price_amount,standard_price_currency,promotional_price_amount,promotional_price_currency,shop_area,certificate_name_label,block_reason_codes,block_reason_descriptions,rule_comments,rule_descriptions,rule_contexts,failed_reasons,rule_types,offline_since_utc,legacy_stock_group_id,status,zfs_stock,pfs_stock,is_zfs,is_pfs,fulfillment_qualities,selection_reason,selection_mode,dwh_last_modified,processed,dwh_created,is_default_mode,product_attributes_last_modified,sk_date,sales_channel_id
56cfb2ea-297c-4768-a5d2-d23374461ce4,412517,29,61147801,810d1d00-4312-43e5-bd31-d8373fdd24c7,TR521K01M-80200XL000,2022-01-02 16:07:42,2022-01-02 16:07:42,2018-03-13 10:05:33,available,TRUE,TRUE,TRUE,1,35,EUR,31.45,EUR,SHOP_AND_SALE,,,,,,,,,,-1,available,35,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
ce61f607-c8ce-4cda-841a-0dfb68374d75,412517,29,393644307,810d1d00-4312-43e5-bd31-d8373fdd24c7,TRU21C0C8-A110038000,2022-01-02 16:56:51,2022-01-02 16:56:51,2021-06-15 15:17:12,available,TRUE,TRUE,TRUE,1,40,EUR,,,ONLY_SHOP,,,,,,,,,,-1,available,62,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
69fc697c-90c9-412e-9062-84c4817ff9c5,412517,29,106929361,810d1d00-4312-43e5-bd31-d8373fdd24c7,UG111X00D-Q110007000,2022-01-02 17:33:36,2022-01-02 17:33:36,2018-03-13 10:00:38,available,TRUE,TRUE,TRUE,1,260,EUR,,,ONLY_SHOP,,,,,,,,,,-1,available,11,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
6973610d-d696-47bc-99d1-8e4a82685091,412517,29,115661250,810d1d00-4312-43e5-bd31-d8373fdd24c7,V1021C17G-Q110044000,2022-01-02 19:58:59,2022-01-02 19:58:59,2018-07-18 11:24:01,available,TRUE,TRUE,TRUE,1,50,EUR,,,ONLY_SHOP,,,,,,,,,,-1,available,5,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
08e3e445-e640-48bc-a182-1a8915821536,412517,29,386740800,810d1d00-4312-43e5-bd31-d8373fdd24c7,V1021C2H5-Q1100XS000,2022-01-02 15:46:05,2022-01-02 15:46:05,2021-03-12 16:33:37,available,TRUE,TRUE,TRUE,1,25,EUR,22.49,EUR,ONLY_SALE,,,,,,,,,,-1,available,7,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
e6e62430-cf45-4708-bcf8-1b6d1ffecb4c,412517,29,118181555,810d1d00-4312-43e5-bd31-d8373fdd24c7,V1021I0KD-B11000M000,2022-01-02 20:03:21,2022-01-02 20:03:21,2019-02-16 01:41:45,available,TRUE,TRUE,TRUE,1,30,EUR,,,ONLY_SHOP,,,,,,,,,,-1,available,727,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
9dfb1b11-1fec-4d22-9318-8e8ee7d13b43,412517,29,359064521,810d1d00-4312-43e5-bd31-d8373fdd24c7,VA211A0D1-Q120055000,2022-01-02 16:00:40,2022-01-02 16:00:41,2021-06-28 16:18:50,available,TRUE,TRUE,TRUE,1,108,EUR,91.95,EUR,SHOP_AND_SALE,,,,,,,,,,-1,available,1,,1,0,low,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
73fede3c-58bb-492c-abe2-a99050d1f80c,412517,29,393534647,810d1d00-4312-43e5-bd31-d8373fdd24c7,VEB21A04C-O110XST036,2022-01-02 13:33:51,2022-01-02 13:33:51,2021-06-16 08:22:19,available,TRUE,TRUE,TRUE,1,40,EUR,35.99,EUR,SHOP_AND_SALE,,,,,,,,,,-1,available,4,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
05c77436-b832-415d-a06c-8d27b201f868,412517,29,343531175,810d1d00-4312-43e5-bd31-d8373fdd24c7,VI143C024-N110036000,2022-01-02 12:26:08,2022-01-02 12:26:08,2020-10-07 20:24:01,available,TRUE,TRUE,TRUE,1,60,EUR,,,ONLY_SHOP,,,,,,,,,,-1,available,7,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
62f74af8-4d96-453c-b2a6-c4a3d67f357f,412517,29,389047948,810d1d00-4312-43e5-bd31-d8373fdd24c7,VIO21001C-E11000L000,2022-01-02 09:15:24,2022-01-02 09:15:24,2021-06-15 12:24:14,available,TRUE,TRUE,TRUE,1,43,EUR,28.15,EUR,ONLY_SALE,,,,,,,,,,-1,available,10,,1,0,medium,SINGLE_OFFER,PRICE_MODE,2022-01-02 20:48:43,1,2022-01-02 20:59:46,,,20220101,a13a1960-5d57-4c51-a3ea-7e8d28e2c0b7
