sk_config,config_sku,sk_model,model_sku,status,occurred_at,dwh_created,dt,product_name,brand_code,silhouette,product_group,commodity_group_path,season_code,first_season_code,multipack_item_count,target_group_set,outline,special_description_en,special_description_de,has_licensed_characters,licensed_characters_en,licensed_characters_de,cb_occurred_at,cb_dwh_created,cb_dt,sk_certificate,certificate_label,product_display_name_en,product_display_name_de,au_occurred_at,au_dwh_created,au_dt,hdg_id,hdg_name,season_type,start_date_for_risk_disc,sold_out_target_date,hdg_occurred_at,hdg_dwh_created,country_of_origin,customs_tariff_eu,customs_tariff_eu_desc,customs_tariff_ch,customs_tariff_ch_desc,customs_tariff_no,customs_tariff_no_desc,customs_tariff_de,customs_tariff_de_desc,country_preferential,cntry_preferential_valid_from,cntry_preferential_valid_to,cntry_preferential_status,country_cumulation,is_cage_product,is_hazardous,logistics_source_last_modified,logistics_occurred_at,logistics_dwh_created,is_sustainable,sk_color_primary,color_label_primary,sk_color_secondary,color_label_secondary,sk_color_tertiary,color_label_tertiary,color_dwh_created,pattern_en,pattern_de,pattern_dwh_created,production_checked_at,production_checked_at_lounge,pchk_dwh_created,cfa_dwh_created,image_path,image_path_with_model,image_paths_dwh_created,assortment_type_label,assortment_type_en,assortment_type_de,tag_label,tag_en,tag_de,sk_brand,dangerous_goods,product_condition,main_supplier_code,ce_dwh_created,ce_occurred_at,is_multipack,image_count,image_count_hd,has_video,image_count_dwh_created,dwh_last_modified
53519069,VI143C024-N11,6550905,VI143C024,active,2020-02-25 13:40:19,2020-02-25 23:36:42,2023-02-22,"Extreme 2,0",VI1,boots,shoe,4-3-C-01-1,hw22,hw20,,"AGE_GROUP_KID,ARTICLE_DOMAIN_DEFAULT,ARTICLE_DOMAIN_SPORTS,GENDER_FEMALE,GENDER_MALE",boots,,\| Technologie: BASF Elastopan für Leichtigkeit und Kältebeständigkeit bis -20°C durch Millionen winziger Luftbläschen \| Decksohle und Innenmaterial teils aus Wolle \| Tunnelzug am Schaftende zur Weitenregulierung,0,,,2023-02-16 03:45:29,2023-02-16 23:32:33,2023-02-22,-1,,"EXTREME 2,0 - Winter boots - huntinggreen/khaki","EXTREME 2,0 - Snowboot/Winterstiefel - huntinggreen/khaki",2023-02-22 20:04:45,2023-02-23 00:29:56,2023-02-22,7021,Sports - Outdoor - Closed Shoes,All Autumn-Winter,2022-09-26,2023-02-20,2023-02-17 20:23:18,2023-02-18 23:34:03,CN,64019290,"Wasserdichte Schuhe, ohne Metallschutz, knöchelbedeckend nicht Knie bedeckend, Laufsohle: Kunststoff, Obermaterial: Kunststoff",64019200,"Wasserdichte Schuhe, ohne Metallschutz, knöchelbedeckend nicht Knie bedeckend",,,,,,,,,,FALSE,FALSE,2022-11-17 16:02:24,2022-11-17 16:02:24,2022-11-17 23:33:47,FALSE,33,606,-1,,-1,,2023-02-16 23:32:02,plain,unifarben,2023-02-16 23:32:02,2020-04-17 09:56:50,2020-04-17 09:56:50,2023-02-16 23:33:47,2023-02-16 23:32:32,spp-media-p1/4c102c605bfb3b86853da3fbea016c67/05befd00ce2e4109904143b972841e89.jpg,spp-media-p1/86e60705c14d3b9c844ef5384cfd727c/3607422d5c87447baf42262cac32cfc6.jpg,2023-02-16 23:33:48,assortment_type_7311,Catalog,Katalog,1377,Winter boots,Snowboot/Winterstiefel,4309,0,,K72209,2023-02-16 23:32:33,2023-02-16 03:45:29,FALSE,6,6,0,2023-02-16 23:32:03,2023-02-23 00:29:56
401646,TR521K01M-802,282321,TR521K01M,,2018-11-16 20:42:59,2019-10-09 12:24:16,2023-02-22,Colour Rocks Trendy Sensation Shirt 02,TR5,one_piece_underwear,underwear,8-1-A-05,year_round_basics,fs11,,"GENDER_FEMALE,AGE_GROUP_ADULT,ARTICLE_DOMAIN_DEFAULT",one_piece_underwear,,\|figurformend,0,,,2023-02-22 00:07:15,2023-02-22 23:36:54,2023-02-22,-1,,COLOUR ROCKS TRENDY SENSATION - Shapewear - black,COLOUR ROCKS TRENDY SENSATION - Shapewear - black,2023-02-22 15:23:57,2023-02-23 00:29:56,2023-02-22,5009,Adults - Daywear Tops - Shirts,All Spring-Summer,2050-01-01,2050-11-28,2023-01-06 20:13:11,2023-01-07 00:00:20,MA,61099020,"T-Shirt, gewirkt, Obermaterial: Chemiefaser",61103000,"Pullover, Obermaterial: Chemiefaser",,,,,,,,,,FALSE,FALSE,2023-02-01 10:35:33,2023-02-01 10:35:33,2023-02-01 23:33:39,FALSE,78,802,-1,,-1,,2023-02-22 23:35:02,plain,unifarben,2023-02-22 23:36:32,2017-01-27 18:11:18,2018-04-18 13:54:33,2023-02-22 23:36:54,2023-02-22 23:36:54,spp-media-p1/a860730459aa39a582e9be107876d4ec/cb90aede7aa1464eb8d4025605b6674f.jpg,spp-media-p1/0ec9b36e85813a0388422b7d72e21a49/452ee3d300be4e54a14dc3d3d9f61df7.jpg,2023-02-22 23:36:54,assortment_type_7311,Catalog,Katalog,1537,Shapewear,Shapewear,4152,0,,K72080,2023-02-22 23:36:54,2023-02-22 00:07:15,FALSE,5,0,0,2023-02-22 23:36:54,2023-02-23 00:29:56
59553249,V1021C2H5-Q11,9941205,V1021C2H5,active,2021-02-05 14:52:26,2021-02-05 23:38:26,2023-02-22,VICARISU S/S SHORT DRESS/KA/SU,V10,dress,clothing,2-1-C-04-01,fs21,fs21,,"AGE_GROUP_ADULT,GENDER_FEMALE,ARTICLE_DOMAIN_DEFAULT",dress,,,0,,,2023-02-21 17:28:24,2023-02-21 23:40:05,2023-02-22,30,home_labels_7727,VICARISU SHORT DRESS - Jersey dress - black,VICARISU SHORT DRESS - Jerseykleid - black,2022-09-06 00:40:13,2022-09-06 23:19:54,2023-02-22,2070,Women - Day Dresses/Shirt Dresses,Late Spring & Summer,2021-05-10,2022-08-29,2022-09-02 20:11:18,2022-09-02 22:34:33,BG,61044200,"Kleid, gewirkt, Damen, Obermaterial: Baumwolle",61044200,"Kleid, gewirkt, Damen, Obermaterial: Baumwolle",,,,,,,,,,FALSE,FALSE,2021-03-18 14:20:26,2021-03-18 14:20:26,2021-03-18 23:38:32,TRUE,78,802,-1,,-1,,2023-02-21 23:39:16,plain,unifarben,2023-02-21 23:39:15,2021-03-12 16:31:31,2021-03-12 16:31:31,2023-02-21 23:40:15,2023-02-21 23:40:02,spp-media-p1/aa2c7d0be82f4d2dab06cc774ebfe68e/549ed08d4caa4b85b123d4b165f5251f.jpg,spp-media-p1/7bfe671f834b4ff9bf4f304e4424174f/ffa4eac33281485db8e68a3b92559418.jpg,2023-02-21 23:40:02,assortment_type_7311,Catalog,Katalog,1445;1447,Jersey dress;Shift dress,Jerseykleid;Etuikleid,4310,0,,K72225,2023-02-21 23:40:02,2023-02-21 17:28:24,FALSE,6,6,0,2023-02-21 23:39:17,2023-02-21 23:40:15
60520418,TRU21C0C8-A11,10647707,TRU21C0C8,active,2021-05-27 09:20:16,2021-05-27 22:36:28,2023-02-22,TWOSS21EL4084/Beyaz,TRU,dress,clothing,2-1-C-04-01,hw21,hw21,,"AGE_GROUP_ADULT,GENDER_FEMALE,ARTICLE_DOMAIN_DEFAULT",dress,,,0,,,2023-02-05 17:58:39,2023-02-05 23:46:08,2023-02-22,-1,,Day dress - white,Freizeitkleid - white,2023-02-22 03:02:08,2023-02-23 00:29:56,2023-02-22,2070,Women - Day Dresses/Shirt Dresses,Autumn Transitional,2021-08-23,2023-02-27,2022-08-26 20:12:04,2022-08-26 22:33:38,TR,62044200,"Kleid, gewebt, Damen, Obermaterial: Baumwolle",62044219,"Kleid, gewebt, Damen, ohne Stickerei oder Spitze, Obermaterial: Baumwolle <750g",,,,,,,,,,FALSE,FALSE,2021-06-16 07:50:20,2021-06-16 07:50:21,2021-06-16 22:37:08,FALSE,23,1,-1,,-1,,2023-02-05 23:46:05,floral,geblümt,2023-02-05 23:46:05,2021-06-15 15:13:39,2021-06-15 15:13:39,2023-02-05 23:45:27,2023-02-05 23:46:50,spp-media-p1/ff6f81129c0c4301a1b5da6b1a2db9aa/94be4b4fcde141b9aa251215c799469d.jpg,spp-media-p1/7ec8ac3ce7b045d4963bb0bd09759aec/2b191b803c014dc4b7ea77b04fe9137d.jpg,2023-02-05 23:46:08,assortment_type_7311,Catalog,Katalog,1442,Day dress,Freizeitkleid,15782,0,,K87812,2023-02-05 23:45:05,2023-02-05 17:58:39,FALSE,6,6,0,2023-02-05 23:45:27,2023-02-23 00:29:56
2338121,UG111X00D-Q11,2379522,UG111X00D,,2018-11-16 19:28:03,2019-10-09 12:24:16,2023-02-22,Bailey Button Bling,UG1,boots,shoe,1-1-X-01,year_round_basics,hw16,,"GENDER_FEMALE,AGE_GROUP_ADULT,ARTICLE_DOMAIN_DEFAULT",boots,,"\| UGGpure Decksohle \| Treadlite Laufsohle für Leichtigkeit, Strapazierfähigkeit und Griffigkeit (UGG) \| seitlicher Knopfverschluss mit Swarovski Element \| bitte vor dem ersten Tragen imprägnieren",0,,,2023-02-17 14:37:26,2023-02-17 23:32:47,2023-02-22,31,home_labels_8326,BAILEY - Winter boots - black,BAILEY - Snowboot/Winterstiefel - black,2023-02-22 21:03:46,2023-02-23 00:29:56,2023-02-22,1064,Women - Winterboots,Spring Transitional,2050-01-01,2050-11-28,2023-01-06 20:24:00,2023-01-07 23:34:55,PH,64039118,"Schuhe, knöchelbedeckend nicht Wade bedeckend, ohne Metallschutz, geschlossen, Länge Innensohle ≥24cm, Frau, Laufsohle: Kunststoff, Obermaterial: Leder",64039100,"Schuhe, knöchelbedeckend, ohne Metallschutz, Obermaterial: Leder",,,,,,,,,,FALSE,FALSE,2022-10-24 15:06:48,2022-10-24 15:06:48,2022-10-24 22:32:24,TRUE,78,802,-1,,-1,,2023-02-17 23:32:00,plain,unifarben,2023-02-17 23:32:27,2017-01-09 15:38:53,2018-04-19 05:31:35,2023-02-17 23:33:52,2023-02-17 23:33:24,spp-media-p1/407f3e5b2a2a3594b8b33583d4f01289/febe9c9982cd4812aadf2cc7ecf02c96.jpg,spp-media-p1/980b97ebb7d8314db2cb75f65ecc96a7/8b04f5ab93894632a449d2c0ca335dfd.jpg,2023-02-17 23:33:25,assortment_type_7311,Catalog,Katalog,1377,Winter boots,Snowboot/Winterstiefel,4182,0,,K72302,2023-02-17 23:33:24,2023-02-17 14:37:26,FALSE,7,0,0,2023-02-17 23:32:00,2023-02-23 00:29:56
4167783,V1021I0KD-B11,2894244,V1021I0KD,,2018-11-16 16:52:34,2019-10-09 12:24:16,2023-02-22,VIRIL OPEN L/S KNIT CARDIGAN - NOOS,V10,cardigan,clothing,2-1-I-01-01,year_round_basics,hw18,,"ARTICLE_DOMAIN_DEFAULT,AGE_GROUP_ADULT,GENDER_FEMALE",cardigan,,\|wird offen und ohne Verschluss getragen,0,,,2023-02-21 17:11:51,2023-02-21 23:40:05,2023-02-22,-1,,VIRIL OPEN L/S - Cardigan - beige,VIRIL OPEN L/S - Strickjacke - beige,2023-02-22 21:15:16,2023-02-23 00:29:56,2023-02-22,2065,Women - Basic Knitwear,All Spring-Summer,2050-01-01,2050-11-28,2022-02-04 20:10:34,2022-02-04 23:32:50,BD,61143000,"Strickjacke, gewirkt, über die Mitte des Oberschenkels hinaus reichend, Obermaterial: Chemiefaser",61143000,"Strickjacke, gewirkt, über die Mitte des Oberschenkels hinaus reichend, Obermaterial: Chemiefaser",,,,,,,,,,FALSE,FALSE,2022-12-05 16:35:17,2022-12-05 16:35:17,2022-12-05 23:33:04,FALSE,88,704,-1,,-1,,2023-02-21 23:39:16,marl,meliert,2023-02-21 23:39:15,2018-10-04 13:59:02,2018-10-04 13:59:02,2023-02-21 23:40:15,2023-02-21 23:40:02,spp-media-p1/2f595d6862584297903b0450cde81dbb/e9b63c8da4764c8295533b83843e10da.jpg,spp-media-p1/1abd57f22cce44f4b21e41e77425c07f/0f7025bc759442d88b09c2f4e299b049.jpg,2023-02-21 23:40:02,assortment_type_7841,Tall,Tall,1477,Cardigan,Strickjacke,4310,0,,K72225,2023-02-21 23:40:02,2023-02-21 17:11:51,FALSE,5,4,0,2023-02-21 23:39:17,2023-02-23 00:29:56
59807329,VIO21001C-E11,10104169,VIO21001C,active,2021-03-09 10:17:19,2021-03-09 23:38:26,2023-02-22,ELASTICATED WAIST SHORTS WITH RETRO SUN RAYS PRINT,VIO,trouser,clothing,2-10-F-5,fs21,fs21,,"GENDER_MALE,ARTICLE_DOMAIN_DEFAULT,GENDER_FEMALE,AGE_GROUP_ADULT",trouser,,\|Tunnelzug im Bund,0,,,2023-02-20 14:33:55,2023-02-20 23:31:52,2023-02-22,-1,,WITH RETRO SUN RAYS PRINT UNISEX - Shorts - yellow,WITH RETRO SUN RAYS PRINT UNISEX - Shorts - yellow,2022-09-04 00:20:13,2022-09-04 22:34:54,2023-02-22,4036,Men - Shorts,Late Spring & Summer,2021-05-10,2022-07-11,2022-07-08 20:08:54,2022-07-08 22:32:29,GB,62046950,"Hose, kurz, gewebt, Damen, Obermaterial: künstliche Chemiefaser",62046990,"Hose, kurz, gewebt, Damen, Obermaterial: künstliche Chemiefaser",,,,,,,,,,FALSE,FALSE,2021-06-16 16:10:20,2021-06-16 16:10:21,2021-06-16 22:37:08,FALSE,72,202,-1,,-1,,2023-02-20 23:33:36,print,print,2023-02-20 23:33:55,2021-06-15 12:22:03,2021-06-15 12:22:03,2023-02-20 23:33:21,2023-02-20 23:32:08,spp-media-p1/75ef4a90ccb545ff997985f731e038aa/6aa22dbe65e9456aa465add2d7d8f240.jpg,spp-media-p1/456583f6d9524bcab8b78d6389fb62d4/1e7cdcb57fc7469dac997960985cd7b4.jpg,2023-02-20 23:33:18,assortment_type_7311,Catalog,Katalog,1472,Shorts,Shorts,15372,0,,K86235,2023-02-20 23:32:20,2023-02-20 14:33:55,FALSE,10,10,0,2023-02-20 23:33:56,2023-02-20 23:33:56
55495754,VA211A0D1-Q12,9794512,VA211A0D1,active,2021-01-21 13:02:50,2021-01-21 23:36:45,2023-02-22,UA Colfax Boot,VA2,ankle_boots,shoe,1-1-N-02,hw21,hw21,,"ARTICLE_DOMAIN_DEFAULT,AGE_GROUP_ADULT,GENDER_FEMALE",ankle_boots,,\| Partien aus Veloursleder \| elastischer Schaft,0,,,2023-02-17 11:43:38,2023-02-17 23:32:47,2023-02-22,-1,,COLFAX  - Ankle boots - black,COLFAX  - Ankle Boot - black,2023-02-21 03:29:40,2023-02-22 00:15:25,2023-02-22,1081,Women - Bootes (remaining types),Q1,2021-08-23,2022-07-11,2022-07-01 20:27:12,2022-07-02 22:33:08,CN,64039118,"Schuhe, knöchelbedeckend nicht Wade bedeckend, ohne Metallschutz, geschlossen, Länge Innensohle ≥24cm, Frau, Laufsohle: Kunststoff, Obermaterial: Leder",64039100,"Schuhe, knöchelbedeckend, ohne Metallschutz, Obermaterial: Leder",,,,,,,,,,FALSE,FALSE,2021-06-30 08:50:24,2021-06-30 08:50:25,2021-06-30 22:35:36,FALSE,78,802,102,916,78,802,2023-02-17 23:32:00,plain,unifarben,2023-02-17 23:32:27,2021-06-21 06:38:57,2021-06-21 06:38:57,2023-02-17 23:33:52,2023-02-17 23:33:24,spp-media-p1/da09600f8c364d76bc0d13d55697e86e/ab66aba6facf4c18a4f97c8becf870fa.jpg,spp-media-p1/dd336432fe4244c0ab13784a443c2a8b/8977bd341dbf42dcbbb56da1fb33f6c2.jpg,2023-02-17 23:33:25,,,,1386,Ankle boots,Ankle Boot,4259,0,,K72217,2023-02-17 23:33:24,2023-02-17 11:43:38,FALSE,6,6,0,2023-02-17 23:32:00,2023-02-22 00:15:25
3861160,V1021C17G-Q11,3389056,V1021C17G,,2018-11-16 20:06:53,2019-10-09 12:24:16,2023-02-22,VILUCY L/S DRESS-NOOS,V10,dress,clothing,2-1-C-04-01,hw21,hw18,,"AGE_GROUP_ADULT,ARTICLE_DOMAIN_DEFAULT,GENDER_FEMALE",dress,,\|Gummizug auf Taillenhöhe,0,,,2023-02-21 23:06:32,2023-02-22 23:36:54,2023-02-22,-1,,VILUCY - Day dress - black,VILUCY - Freizeitkleid - black,2023-01-19 17:15:44,2023-01-19 23:43:30,2023-02-22,2075,Women - Day Dresses/Shirt Dresses long sleeve,All Autumn-Winter,2021-09-27,2022-08-29,2022-08-26 20:11:35,2022-08-26 22:33:38,RO,62044300,"Kleid, gewebt, Damen, Obermaterial: synthetische Chemiefaser",62044310,"Kleid, gewebt, Damen, ohne Stickerei oder Spitze, Obermaterial: synthetische Chemiefaser",,,,,,,,,,FALSE,FALSE,2022-06-29 08:46:55,2022-06-29 08:46:55,2022-06-29 22:32:53,FALSE,78,802,-1,,-1,,2023-02-22 23:35:02,plain,unifarben,2023-02-22 23:36:32,2018-06-25 12:04:55,2018-06-25 12:04:55,2023-02-22 23:36:54,2023-02-22 23:36:54,spp-media-p1/8e539fb065ce4a28a02b172bcace53be/1e78cf70570e4990a78a4b3da2553d49.png,spp-media-p1/d04e5d7e6e0847faadfca717fcbbb34c/0f507e8be15e4675b2bc8fc3c62ba52c.jpg,2023-02-22 23:36:54,assortment_type_7311,Catalog,Katalog,1442,Day dress,Freizeitkleid,4310,0,,K72225,2023-02-22 23:36:54,2023-02-21 23:06:32,FALSE,5,4,1,2023-02-22 23:36:54,2023-02-22 23:36:54
60504850,VEB21A04C-O11,10623270,VEB21A04C,active,2021-05-25 09:44:51,2021-05-25 22:34:52,2023-02-22,VMEVA HR LOOSE PAPERBAG LIV PANT TALL,VEB,trouser,clothing,2-1-A-13,hw21,hw21,,"AGE_GROUP_ADULT,GENDER_FEMALE,ARTICLE_DOMAIN_DEFAULT",trouser,,\|angedeutete Gesäßtasche,0,,,2023-02-21 17:03:26,2023-02-21 23:40:05,2023-02-22,-1,,VMEVA LOOSE PAPERBAG PANT - Chinos - tobacco brown,VMEVA LOOSE PAPERBAG PANT - Chino - tobacco brown,2023-02-22 15:04:59,2023-02-23 00:29:56,2023-02-22,2021,Women - Long trousers,All Autumn-Winter,2021-09-15,2023-02-27,2023-02-17 20:16:21,2023-02-17 23:33:52,CN,62034919,"Hose, lang, gewebt, Herren, ausgenommen Arbeits- und Berufsbekleidung, Obermaterial: künstliche Chemiefaser",62034990,"Hose, lang, gewebt, Herren, Obermaterial: künstliche Chemiefaser",,,,,,,,,,FALSE,FALSE,2021-06-17 13:50:22,2021-06-17 13:50:23,2021-06-17 22:35:49,FALSE,114,702,-1,,-1,,2023-02-21 23:39:16,checked,kariert,2023-02-21 23:39:15,2021-06-03 10:17:39,2021-06-03 10:17:39,2023-02-21 23:40:15,2023-02-21 23:40:02,spp-media-p1/780cc69484dc4f1f996ee825cf60d66a/b2ab3f5622f246c39ec343001a6189d3.jpg,,2023-02-21 23:40:02,assortment_type_7841,Tall,Tall,1464,Chinos,Chino,12901,0,,K70240,2023-02-21 23:40:02,2023-02-21 17:03:26,FALSE,3,3,0,2023-02-21 23:39:17,2023-02-23 00:29:56
