sk_product,simple_sku,sk_config,config_sku,sk_model,model_sku,gtin,status,occurred_at,dwh_created,dt,size_type0,size_type1,size_type2,size_value0,size_value1,size_value2,size_occurred_at,size_dwh_created,size_dt,supplier_size,size_family,size_translation_es,size_translation_eu,size_translation_fr,size_translation_it,size_translation_uk,size_translation_us,gross_weight,gross_volume,package_height,package_width,package_length,is_receive_blocked,is_sortable,is_sortable_locked,has_preferent_treatment,logistics_source_last_modified,logistics_occurred_at,logistics_dwh_created,size_translation_occurred_at,size_translation_dwh_created,size_translation_dt,dwh_last_modified,accounting_dwh_created,accounting_occurred_at,value_added_tax_class,input_tax_class,initial_purchase_price,initial_purchase_currency,legacy_valuation_price,legacy_valuation_currency,initial_sales_price,initial_sales_country_code,is_active,prod_simple_occurred_at,prod_simple_dwh_created,is_partner_article_onboard,is_zalando_article_onboard,product_purpose,image_count,image_count_dwh_created,image_path,image_path_with_model,image_paths_dwh_created,is_big_item
61147801,TR521K01M-80200XL000,401646,TR521K01M-802,282321,TR521K01M,7613111337403,,2018-11-15 19:08:59,2019-10-10 14:59:21,2023-02-22,2FAE000A2A,,,XL,,,2023-02-22 00:07:15,2023-02-22 23:36:54,2023-02-22,XL,XL,XL,XL,XL,XL,XL,XL,184,915300,12,225,339,FALSE,FALSE,FALSE,FALSE,2022-12-15 14:16:16,2022-12-15 14:16:16,2022-12-15 23:33:44,2023-02-22 15:23:57,2023-02-23 00:36:25,2023-02-22,2023-02-23 00:36:25,2023-02-01 23:44:50,2023-02-01 10:35:20,FULL_TAX,FULL_TAX,10985825.89,EUR,,,,,TRUE,2023-02-22 00:07:15,2023-02-22 23:36:20,1,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
393644307,TRU21C0C8-A110038000,60520418,TRU21C0C8-A11,10647707,TRU21C0C8,8683043627438,active,2021-05-27 09:20:16,2021-05-27 22:36:23,2023-02-22,2FKO000E2A,,,38,,,2023-02-05 17:58:39,2023-02-05 23:46:08,2023-02-22,38,"38,M",40,38,40,44,10,6,264,2187360,30,248,294,FALSE,FALSE,FALSE,FALSE,2021-06-19 05:42:32,2021-06-19 05:42:33,2021-06-19 22:36:01,2023-02-22 22:09:23,2023-02-23 00:36:25,2023-02-22,2023-02-23 00:36:25,2021-05-27 22:44:40,2021-05-27 09:20:28,,,10950384.03,EUR,,,,,TRUE,2023-02-05 17:58:39,2023-02-05 23:46:08,0,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
106929361,UG111X00D-Q110007000,2338121,UG111X00D-Q11,2379522,UG111X00D,190108128475,,2018-11-16 22:24:47,2019-10-10 14:59:21,2023-02-22,1FU3UG1X0A,,,7,,,2023-02-17 14:37:26,2023-02-17 23:32:28,2023-02-22,7,38,38,38,38,38,5,7,1035,,120,307,348,FALSE,FALSE,FALSE,FALSE,2022-10-24 15:06:48,2022-10-24 15:06:48,2022-10-24 22:32:33,2023-02-22 21:03:46,2023-02-23 00:36:25,2023-02-22,2023-02-23 00:36:25,2021-03-15 23:36:24,2021-03-15 14:24:22,,,11211898.88,EUR,,,,,TRUE,2023-02-17 14:37:26,2023-02-17 23:32:48,1,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
115661250,V1021C17G-Q110044000,3861160,V1021C17G-Q11,3389056,V1021C17G,5713780528163,,2018-11-17 02:50:35,2019-10-10 14:59:21,2023-02-22,2FKO000E2A,,,44,,,2023-02-21 23:06:32,2023-02-22 23:36:54,2023-02-22,44,"46,XXL",46,44,46,50,16,12,370,4310568,76,207,274,FALSE,FALSE,FALSE,FALSE,2022-06-29 08:46:55,2022-06-29 08:46:55,2022-06-29 22:33:49,2023-01-19 17:16:00,2023-01-19 23:51:18,2023-02-22,2023-02-22 23:36:54,2020-03-11 10:00:12,2019-11-21 10:29:46,,,10998775.81,EUR,,,11120122.27,DE,TRUE,2023-02-21 23:06:32,2023-02-22 23:36:20,1,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
386740800,V1021C2H5-Q1100XS000,59553249,V1021C2H5-Q11,9941205,V1021C2H5,5713786607619,active,2021-02-05 14:52:27,2021-02-05 23:39:14,2023-02-22,2FAE000A2A,,,XS,,,2023-02-21 17:28:24,2023-02-21 23:39:26,2023-02-22,XS,"4,6,XS",XS,XS,XS,XS,XS,XS,160,3855168,46,288,291,FALSE,FALSE,FALSE,FALSE,2021-03-10 14:07:25,2021-03-10 14:07:26,2021-03-10 23:38:43,2022-09-06 00:29:04,2022-09-06 23:30:47,2023-02-22,2023-02-21 23:40:02,2021-10-08 22:32:59,2021-10-08 02:39:09,,,10908650.7,EUR,,,11036209.97,DE,TRUE,2023-02-21 17:28:24,2023-02-21 23:40:02,0,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
118181555,V1021I0KD-B11000M000,4167783,V1021I0KD-B11,2894244,V1021I0KD,5713781255495,,2019-01-30 12:07:12,2019-10-10 14:59:21,2023-02-22,2FAE000A2A,,,M,,,2023-02-21 17:11:51,2023-02-21 23:39:26,2023-02-22,M,"38,M",M,M,M,M,M,M,390,7216440,70,284,363,FALSE,FALSE,FALSE,FALSE,2023-01-12 09:14:20,2023-01-12 09:14:20,2023-01-12 23:33:05,2023-02-22 21:35:32,2023-02-23 00:36:25,2023-02-22,2023-02-23 00:36:25,2023-02-11 23:42:32,2023-02-11 04:09:08,,,10926161.92,EUR,,,,,TRUE,2023-02-21 17:11:51,2023-02-21 23:40:02,1,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
359064521,VA211A0D1-Q120055000,55495754,VA211A0D1-Q12,9794512,VA211A0D1,194902646296,active,2021-01-21 13:02:52,2021-01-21 23:37:40,2023-02-22,1UV2VA2X0A,,,55,,,2023-02-17 11:43:38,2023-02-17 23:32:28,2023-02-22,5.5,37,37,37,37,37,4.5,5.5,1195,,121,290,321,FALSE,FALSE,FALSE,FALSE,2023-01-13 02:55:22,2023-01-13 02:55:22,2023-01-13 23:33:01,2023-02-21 03:29:40,2023-02-22 00:22:02,2023-02-22,2023-02-22 00:22:02,2021-03-11 23:37:54,2021-03-11 07:23:50,,,11120148.48,EUR,,,,,TRUE,2023-02-17 11:43:38,2023-02-17 23:32:48,1,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
393534647,VEB21A04C-O110XST036,60504850,VEB21A04C-O11,10623270,VEB21A04C,5715111289712,active,2021-05-25 09:44:52,2021-05-25 22:35:35,2023-02-22,2FV0VEBE2A,2FHU000U3A,,XST,36,,2023-02-21 17:03:26,2023-02-21 23:39:26,2023-02-22,XS/Tx36,"23,24,25,XS",XSx36,XSx36,XSx36,XSx36,XSx36,XSx36,385,6703200,80,285,294,FALSE,FALSE,FALSE,FALSE,2021-06-16 19:27:25,2021-06-16 19:27:27,2021-06-16 22:37:08,2023-02-22 22:19:02,2023-02-23 00:36:25,2023-02-22,2023-02-23 00:36:25,2021-05-25 22:40:52,2021-05-25 09:45:08,,,10971250.69,EUR,,,,,TRUE,2023-02-21 17:03:26,2023-02-21 23:40:02,0,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
343531175,VI143C024-N110036000,53519069,VI143C024-N11,6550905,VI143C024,7054977443462,active,2020-02-25 13:40:26,2020-02-25 23:36:56,2023-02-22,4KV0VI1E0A,,,36,,,2023-02-16 03:45:29,2023-02-16 23:32:33,2023-02-22,36,36,36,36,36,36,3.5,4.5,1325,,130,316,374,FALSE,FALSE,FALSE,FALSE,2022-11-17 16:02:24,2022-11-17 16:02:24,2022-11-17 23:32:14,2023-02-22 22:18:00,2023-02-23 00:36:25,2023-02-22,2023-02-23 00:36:25,2023-01-10 23:44:52,2023-01-10 10:22:44,,,11100487.68,EUR,,,,,TRUE,2023-02-16 03:45:29,2023-02-16 23:32:32,1,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
389047948,VIO21001C-E11000L000,59807329,VIO21001C-E11,10104169,VIO21001C,2001315084158,active,2021-03-11 16:58:52,2021-03-11 23:38:06,2023-02-22,2ML0000E2A,,,L,,,2023-02-20 14:33:55,2023-02-20 23:34:17,2023-02-22,L,"32,33,34,35,L",L,L,L,L,L,L,178,5245520,40,323,406,FALSE,FALSE,FALSE,FALSE,2021-07-17 05:56:37,2021-07-17 05:56:40,2021-07-17 22:33:02,2022-09-04 00:20:13,2022-09-04 22:46:51,2023-02-22,2023-02-20 23:34:17,2021-06-15 22:35:13,2021-06-15 12:26:34,,,10974081.84,EUR,,,,,TRUE,2023-02-20 14:33:55,2023-02-20 23:32:08,0,1,,0,2021-12-21 10:59:32,,,2022-03-21 09:14:16,FALSE
